ARREST_KEY,ARREST_DATE,PD_CD,PD_DESC,KY_CD,OFNS_DESC,LAW_CODE,LAW_CAT_CD,ARREST_BORO,ARREST_PRECINCT,JURISDICTION_CODE,AGE_GROUP,PERP_SEX,PERP_RACE,X_COORD_CD,Y_COORD_CD,latitude,longitude,Lon_Lat
214685211,06/28/2020,788,"FIREWORKS, SALE",363,OFFENSES AGAINST PUBLIC SAFETY,PL 27002MA,M,B,50,0,25-44,M,UNKNOWN,1010914,260940,40.88286213100001,-73.90357448999998,POINT (-73.90357448999998 40.88286213100001)
214646387,06/27/2020,101,ASSAULT 3,344,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,M,23,0,25-44,M,UNKNOWN,997489,225947,40.78684680500004,-73.95219334199999,POINT (-73.952193342 40.78684680500004)
214686390,06/28/2020,115,RECKLESS ENDANGERMENT 2,355,OFFENSES AGAINST THE PERSON,PL 1202000,M,M,10,71,45-64,M,UNKNOWN,984584,216221,40.76016138500006,-73.99879580599996,POINT (-73.99879580599996 40.76016138500006)
214748788,06/30/2020,113,"MENACING,UNCLASSIFIED",344,ASSAULT 3 & RELATED OFFENSES,PL 1201401,M,B,45,0,25-44,M,UNKNOWN,1031799,249614,40.85168795000004,-73.82812705699997,POINT (-73.82812705699997 40.85168795000004)
214569128,06/25/2020,101,ASSAULT 3,344,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,M,1,0,45-64,M,UNKNOWN,982351,201758,40.720463840000036,-74.00685220399998,POINT (-74.00685220399998 40.720463840000036)
214736219,06/30/2020,113,"MENACING,UNCLASSIFIED",344,ASSAULT 3 & RELATED OFFENSES,PL 1201500,M,B,40,0,18-24,F,UNKNOWN,1005041,234533,40.810398494000026,-73.92489531099994,POINT (-73.92489531099994 40.810398494000026)
214686389,06/28/2020,115,RECKLESS ENDANGERMENT 2,355,OFFENSES AGAINST THE PERSON,PL 1202000,M,M,10,71,18-24,M,UNKNOWN,984686,209908,40.74283378800004,-73.99842802399996,POINT (-73.99842802399996 40.74283378800004)
214752094,06/30/2020,788,"FIREWORKS, SALE",363,OFFENSES AGAINST PUBLIC SAFETY,PL 27002MA,M,B,52,0,45-64,M,UNKNOWN,1009406,253717,40.86304164800004,-73.90905509499999,POINT (-73.90905509499999 40.86304164800004)
214461559,06/22/2020,101,ASSAULT 3,344,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,K,84,0,25-44,M,UNKNOWN,988897,192615,40.69536744700008,-73.98324342499996,POINT (-73.98324342499996 40.69536744700008)
213856985,06/04/2020,643,"ASSEMBLY,UNLAWFUL",361,OFF. AGNST PUB ORD SENSBLTY &,PL 2401000,M,B,40,0,18-24,M,UNKNOWN,1006350,233031,40.80627274200003,-73.92017158099996,POINT (-73.92017158099996 40.80627274200003)
214480575,06/23/2020,101,ASSAULT 3,344,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,B,40,0,25-44,F,UNKNOWN,1005041,234533,40.810398494000026,-73.92489531099994,POINT (-73.92489531099994 40.810398494000026)
213886583,06/05/2020,548,"GAMBLING, DEVICE, POSSESSION",350,GAMBLING,PL 2253002,M,B,47,0,25-44,M,UNKNOWN,1022514,259453,40.87873811200007,-73.86163311799999,POINT (-73.86163311799999 40.87873811200007)
